Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.pt.patient-admin-ig.json	9186	-	0	0	0	0	0	0	18	68	0	0	0	0	0	0	0	0	0	0	90	116	0	0	0	4	0	0
fsh-generated/resources/Bundle-patient-link.json	17939	9	23	0	0	0	0	0	6	903	0	0	0	0	0	0	0	1	0	0	46	66	0	0	0	0	0	1
fsh-generated/resources/Bundle-patient-new.json	12538	6	9	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	0	0	35	63	0	0	0	0	0	0
fsh-generated/resources/Bundle-patient-update.json	12938	4	4	0	0	0	0	0	3	22	0	0	0	0	0	0	0	0	0	0	33	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-fhir-events.json	3861	3	0	0	1	0	0	0	1	12	0	0	1	0	0	0	0	0	0	0	18	577	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-AddressNuts-Pt.json	2781	2	0	25	0	0	0	0	0	88	0	0	0	0	0	0	0	1	0	0	92	685	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-BundleMessage-Pt.json	1057	2	0	45	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	121	414	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-BundleSearchset-Pt.json	694	2	0	54	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	105	300	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ContactIndicative-Pt.json	1019	1	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Coverage-Pt.json	2134	2	0	61	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	110	311	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MessageHeader-Pt.json	1711	3	0	58	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	109	265	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-Notes-pt.json	963	2	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	28	122	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Organization-Pt.json	979	2	0	38	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	71	222	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Patient-Pt.json	6878	3	0	107	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	285	703	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-PatientEnrollmentCategoryPrimarycare-Pt.json	1090	2	0	16	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	29	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PatientPrimaryCarePeriod-Pt.json	1053	2	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	66	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PersonEducation-Pt.json	759	2	0	30	1	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	33	110	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-PersonOccupation-Pt.json	1503	2	0	38	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	51	89	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-PersonRecordType-Pt.json	1002	1	0	30	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Practitioner-Pt.json	1452	3	0	56	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	98	236	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-address-pt.json	5563	2	0	47	0	0	0	0	0	54	0	0	1	0	0	0	0	0	0	0	218	413	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-birthplace-pt.json	2464	2	0	33	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	84	207	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-coverage-reason-pt.json	1304	2	0	27	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	50	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-nationality-pt.json	1469	2	0	26	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	51	102	0	0	0	2	0	1
fsh-generated/resources/ValueSet-patient-identifier-type.json	1918	2	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	14	115	0	0	0	1	0	0
fsh-generated/resources/ValueSet-practitioner-identifier-type.json	846	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	54	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-patient-identity-events.json	1831	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	11	66	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1579	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1782	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.xml	457	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
/input/pagecontent/ glossary.md	12	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/fun_spec.md	16990	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/examples.md	74	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/conversionV2Fhir.md	7515	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/conversionFhirV2.md	5259	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/tech_spec.md	9995	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/downloads.md	1287	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	5482	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FhirMessagePatientIdentityManagement.png	78445	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/messageParadigmSchema.png	42524	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/bundle_message.png	78445	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/hl7profilemessages.png	88169	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FlowPatientMerge.png	23735	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FlowPatientNew.png	24123	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/FlowPatientUnlink.png	24483	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FlowPatientUpdate.png	24933	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FlowPatientLink.png	23984	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/domainsAdt.png	26388	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/PatientIdentityWorkflow.png	33428	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FhirMessageEncounterNew.png	76502	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/FhirMessagePatientlink.png	62532	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	12469	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
