Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.pt.patient-admin-ig.json	9186	-	0	0	0	0	0	0	14	67	0	0	0	0	0	0	0	0	0	0	96	101	0	0	0	4	0	1
fsh-generated/resources/Bundle-patient-link.json	17939	8	23	0	0	0	0	0	4	882	0	0	0	0	0	0	0	0	0	0	53	52	0	0	0	0	0	0
fsh-generated/resources/Bundle-patient-new.json	12538	5	7	0	0	0	0	0	2	28	0	0	0	0	0	0	0	1	0	0	42	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-patient-update.json	12938	4	2	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	42	55	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-cs-fhir-events.json	4709	2	0	0	1	0	0	0	1	12	0	0	1	0	0	0	0	0	0	0	19	611	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-AddressNuts-Pt.json	2781	2	0	22	0	0	0	0	0	84	0	0	0	0	0	1	0	1	0	0	86	659	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BundleMessage-Pt.json	1057	2	0	50	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	132	475	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-BundleSearchset-Pt.json	694	1	0	49	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	126	386	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ContactIndicative-Pt.json	1019	2	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Coverage-Pt.json	2134	2	0	61	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	112	240	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-MessageHeader-Pt.json	1711	2	0	40	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	117	211	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-Notes-pt.json	963	2	0	14	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	30	56	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Organization-Pt.json	979	2	0	34	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	72	137	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-Patient-Pt.json	6878	3	0	103	0	0	0	0	0	131	0	0	0	0	0	0	0	1	0	0	268	569	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-PatientEnrollmentCategoryPrimarycare-Pt.json	1090	2	0	22	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	41	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PatientPrimaryCarePeriod-Pt.json	1053	1	0	22	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	39	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PersonEducation-Pt.json	759	2	0	24	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	37	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PersonOccupation-Pt.json	1503	2	0	19	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	63	102	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-PersonRecordType-Pt.json	1002	2	0	14	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	38	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Practitioner-Pt.json	1452	1	0	43	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	113	288	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-address-pt.json	5563	3	0	33	1	0	0	0	0	56	0	0	0	0	0	0	0	1	0	0	239	366	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-birthplace-pt.json	2464	2	0	9	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	84	236	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-coverage-reason-pt.json	1304	1	0	8	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	50	107	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-nationality-pt.json	1469	2	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	55	104	0	0	0	3	0	0
fsh-generated/resources/ValueSet-patient-identifier-type.json	1918	2	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	13	110	0	0	0	0	0	0
fsh-generated/resources/ValueSet-practitioner-identifier-type.json	846	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	9	50	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-patient-identity-events.json	1831	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	54	0	0	0	0	0	0
