Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.pt.patient-admin-ig.json	9498	-	0	0	0	0	0	0	15	78	0	0	0	0	0	0	0	1	0	0	84	97	0	0	0	3	0	1
fsh-generated/resources/Bundle-patient-link.json	17939	16	28	0	1	0	0	0	3	702	0	0	0	0	0	0	0	0	0	0	46	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-patient-new.json	12538	13	7	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	33	67	0	0	0	0	0	0
fsh-generated/resources/Bundle-patient-update.json	12938	13	3	0	0	0	0	0	1	23	0	0	0	0	0	0	0	1	0	0	34	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-fhir-events.json	4709	10	0	0	1	0	1	0	1	20	0	0	0	0	0	0	0	0	0	0	21	572	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BundleMessage-Pt.json	1057	10	0	33	0	0	0	1	0	106	0	0	1	0	0	0	0	1	0	0	146	871	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ContactIndicative-Pt.json	1019	10	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	40	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Coverage-Pt.json	2134	10	0	49	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	133	207	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-MessageHeader-Pt.json	1711	11	0	32	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	130	164	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-Notes-pt.json	1186	10	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Organization-Pt.json	979	9	0	27	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	82	105	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-Patient-Pt.json	6878	12	0	65	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	298	346	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-PatientEnrollmentCategoryPrimarycare-Pt.json	1361	10	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PatientPrimaryCarePeriod-Pt.json	1318	10	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	29	44	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PersonEducation-Pt.json	976	9	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PersonOccupation-Pt.json	1788	11	0	13	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	52	57	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-PersonRecordType-Pt.json	1203	9	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	29	36	0	0	0	2	0	0
